CALM1	YWHAE	6.6643926873141055	304
CALM1	CUL1	7.8403871991568295	336
CALM1	CUL3	11.127220264153145	696
CALM1	CLIP1	11.955382912786163	2202
CALM1	SYNE2	16.24377548071061	11104
CALM1	MORF4L1	6.253059224937893	252
CALM1	FKBP4	7.809463770116267	626
CALM1	RAF1	7.647870347962254	802
CALM1	RANBP2	8.705506124271935	5170
CALM1	SET	6.5166915538809675	116
CALM1	SF3B1	7.579704380794269	450
CALM1	HSP90AA1	9.13183601258617	630
CALM1	ESR1	7.243541262094283	874
CALM1	EGFR	11.076053780217428	1720
ASH2L	WDR5	9.68995281613708	9478
ASH2L	PPP1CC	10.68205355730587	14105
ASH2L	WWP1	17.320502438751795	104461
ASH2L	CTNNB1	18.201314462025096	50526
ASH2L	E2F4	18.472417399100763	54747
ASH2L	ESR1	20.599121906767465	87199
ACTN2	SUMO3	13.027921727868446	13975
ACTN2	KAT2B	22.495671042041224	123685
ACTN2	DLG1	37.82453772162734	197904
ACTN2	SUMO1	12.833616973197707	10236
DDB1	UBE2D2	16.559329129329498	7016
DDB1	RORA	19.315623629603202	57486
DDB1	RPA2	17.97670781538145	48763
DDB1	NUP43	15.452615390542952	82166
DDB1	NR2C2	17.44441745327704	90645
DDB1	MEF2A	14.02787471058155	81299
DDB1	MTOR	19.94697686566944	182019
DDB1	RPA1	17.050418156325087	119876
DDB1	NUP133	17.686787262642184	250399
DDB1	RBX1	11.160469479023895	3630
DDB1	RBBP4	20.071299344532175	33673
DDB1	EP300	20.227661465296272	469591
DPYSL2	RHOA	27.998230632952513	9032
DPYSL2	EIF3J	17.706409996815893	30152
CDK2	EIF4A3	13.905148316567335	11465
CDK2	PCBP2	15.085353824396677	20995
CDK2	YWHAG	31.360611506581762	17642
CDK2	PGR	21.665766339918427	35773
CDK2	VCL	21.586927809422292	61299
CDK2	PRDX6	14.919353236613276	23279
CDK2	SEC23A	21.47739869697989	44749
CDK2	RB1	22.138099270115305	77523
CDK2	EIF4A1	25.07833117453015	19102
CDK2	PTBP1	19.09905977919523	58598
CDK2	DPYSL2	19.150623489898834	41282
CDK2	MYH9	22.06847262076326	163924
CDK2	SMAD3	22.15407925086633	23307
CDK2	SMAD2	15.277610565747601	17542
CDK2	FLNA	62.868519724840695	293602
CDK2	TLN1	28.70318371546736	213176
CDK2	NEDD8	13.281777268134448	1893
CDK2	RAN	15.017994346542899	8303
CDK2	YWHAZ	17.872134130256796	17507
CDK2	MAPRE1	16.790545225164905	24690
CDK2	CTNNB1	19.27207556879935	38779
CDK2	HNRNPA1	22.537619145012712	38283
CDK2	PCBP1	20.496695972497882	38383
CDK2	OGT	19.05759393313997	42579
CDK2	HSPA8	18.854439020832224	40304
CDK2	KAT2A	29.718124679528046	57534
CDK2	JUP	24.82769946584682	71383
CDK2	RPA1	15.881824374287248	62654
CDK2	SNRPE	8.76761686256964	2368
CDK2	PDIA3	17.738405187965384	45331
CDK2	HSP90AA1	43.10262708335952	47650
CDK2	HSPA5	23.45231618701402	46856
CDK2	CUL1	15.721928133904285	23228
CDK2	HSP90AB1	21.6648696311685	55925
CDK2	RBL1	24.385524784206353	108418
CDK2	CKB	18.272179067473544	33901
CDK2	EP300	20.534977866938476	245605
CDK2	CREBBP	30.03685152854218	234990
CUL3	WDR5	9.448530983611178	15468
CUL3	UBE2E1	15.64152126110993	16044
CUL3	CUL5	14.694253338561914	46557
CUL3	VCP	15.959882265424923	56517
CUL3	MAPKAPK2	16.23961109745445	60090
CUL3	PRPF8	17.012522055374312	75147
CUL3	HAT1	17.45369451260322	79389
CUL3	PPP2R1A	15.87397422505098	56139
CUL3	WDR77	19.120427673561856	84732
CUL3	PIK3R1	21.863220907218576	132093
CUL3	UBE2D2	17.465322214436412	7749
CUL3	UBE2D3	12.027129983474786	14076
CUL3	UBE2D1	22.881534672325913	17406
CUL3	SEC13	19.23443009485779	46407
CUL3	KPNA1	25.131579433399253	71790
CUL3	PRPF4	26.047536856799425	91770
CUL3	RPA2	19.359209027927996	54384
CUL3	TCEB2	19.190385103946923	15348
CUL3	YWHAG	16.015934492671107	37659
CUL3	YWHAE	12.587824514704323	48708
CUL3	SNRPD3	10.043047767088535	11700
CUL3	SUMO3	9.641246938613804	12366
CUL3	TCEB1	25.77667783030358	8022
CUL3	HSP90AB1	18.36344920716084	119379
CUL3	RUVBL2	23.844147508843946	92754
CUL3	RNPS1	23.808534257730557	52386
CUL3	HSPB1	17.007061355414336	50328
CUL3	KEAP1	18.112408385398012	169572
CUL3	HSPA9	24.37405265436236	119454
CUL3	DCTN1	35.5391916006661	275493
CUL3	TAF5	20.23362143339874	91740
CUL3	EIF4G1	31.263108532116377	318813
CUL3	HSPA8	25.31849004266443	86034
CUL3	SKP1	9.972712403399019	4056
CUL3	PSMC4	18.844914137896772	70080
CUL3	DDB1	21.42162415020117	99639
CUL3	SEC23A	29.530852470366426	95523
CUL3	DGCR8	22.638553769820415	136392
CUL3	EPRS	23.35652734414725	302163
CUL3	SNRNP200	41.57273007113889	298695
CUL3	SNRPG	10.380885742561809	11049
CUL3	SNRPD1	25.62925300830893	11352
CUL3	PPP1CA	14.749621833260257	25398
CUL3	SRSF1	15.847993125011435	22704
CUL3	U2AF1	16.600411793853574	17739
CUL3	PCBP2	27.19420786232135	44817
CUL3	KAT5	16.921592618240425	72441
CUL3	HNRNPL	25.01441309528758	99414
CUL3	SMN2	14.996137154112361	64389
CUL3	ITCH	25.193318778868473	134847
CUL3	NCBP1	14.365671646676283	133545
CUL3	ESR1	18.85457403068645	142977
