lines	n	af1	af2	beta3	pmin	p80	pmax
1000	10000	0.05	0.05	5.0	2.122673e-79	1.581255e-57	1.442829e-47
1000	10000	0.1	0.01	0.1	0.0001155842	0.7687456	0.9981017
1000	10000	0.1	0.01	0.2	0.0002272429	0.7779011	0.9991775
1000	10000	0.1	0.01	0.5	3.040671e-06	0.5323131	0.9998305
1000	10000	0.1	0.01	1.0	2.946024e-10	0.02617885	0.8863401
1000	10000	0.1	0.01	2.0	3.542705e-19	1.63208e-07	0.001263261
1000	10000	0.1	0.01	5.0	2.575885e-38	1.675932e-22	2.558469e-15
1000	10000	0.1	0.05	0.1	0.0002911305	0.7666639	0.9994049
1000	10000	0.1	0.05	0.2	2.242125e-06	0.60043	0.9983632
1000	10000	0.1	0.05	0.5	2.20326e-10	0.0149881	0.9570058
1000	10000	0.1	0.05	1.0	2.103984e-21	1.412603e-09	8.621258e-05
1000	10000	0.1	0.05	2.0	1.823623e-59	2.837853e-35	8.073434e-27
1000	10000	0.1	0.05	5.0	8.191344e-133	2.840902e-102	1.091301e-85
1000	10000	0.1	0.1	0.1	5.634542e-05	0.7354644	0.9985678
1000	10000	0.1	0.1	0.2	3.899555e-06	0.3107699	0.9935076
1000	10000	0.1	0.1	0.5	5.641832e-15	9.733331e-05	0.302845
1000	10000	0.1	0.1	1.0	2.715173e-36	1.689838e-19	5.202423e-13
1000	10000	0.1	0.1	2.0	2.497434e-98	6.991023e-69	3.89037e-55
1000	10000	0.1	0.1	5.0	1.513538e-227	5.627467e-186	2.780968e-166
1000	10000	0.2	0.01	0.1	0.0006509455	0.7751389	0.997951
1000	10000	0.2	0.01	0.2	5.831898e-06	0.7313837	0.9985714
1000	10000	0.2	0.01	0.5	9.601048e-08	0.2198616	0.9767145
1000	10000	0.2	0.01	1.0	2.979587e-18	0.0003545334	0.1588987
1000	10000	0.2	0.01	2.0	5.103866e-29	6.577429e-14	2.958065e-07
1000	10000	0.2	0.01	5.0	3.364124e-53	1.136384e-33	2.164225e-22
1000	10000	0.2	0.05	0.1	1.193813e-05	0.7241476	0.9982442
1000	10000	0.2	0.05	0.2	8.108389e-06	0.3138062	0.9939876
1000	10000	0.2	0.05	0.5	3.677686e-16	6.108506e-05	0.07982553
1000	10000	0.2	0.05	1.0	6.808079e-39	9.843676e-20	5.424665e-13
1000	10000	0.2	0.05	2.0	2.812054e-102	1.206336e-66	3.675375e-51
1000	10000	0.2	0.05	5.0	1.765204e-203	8.883608e-163	2.057304e-144
1000	10000	0.2	0.1	0.1	2.050289e-05	0.5171809	0.9983312
1000	10000	0.2	0.1	0.2	3.783426e-08	0.08990813	0.9828022
1000	10000	0.2	0.1	0.5	4.510927e-24	7.92859e-10	5.390834e-05
