	A_A	A_R	A_N	A_D	A_C	A_E	A_Q	A_G	A_H	A_I	A_L	A_K	A_M	A_F	A_P	A_S	A_T	A_W	A_Y	A_V	R_A	R_R	R_N	R_D	R_C	R_E	R_Q	R_G	R_H	R_I	R_L	R_K	R_M	R_F	R_P	R_S	R_T	R_W	R_Y	R_V	N_A	N_R	N_N	N_D	N_C	N_E	N_Q	N_G	N_H	N_I	N_L	N_K	N_M	N_F	N_P	N_S	N_T	N_W	N_Y	N_V	D_A	D_R	D_N	D_D	D_C	D_E	D_Q	D_G	D_H	D_I	D_L	D_K	D_M	D_F	D_P	D_S	D_T	D_W	D_Y	D_V	C_A	C_R	C_N	C_D	C_C	C_E	C_Q	C_G	C_H	C_I	C_L	C_K	C_M	C_F	C_P	C_S	C_T	C_W	C_Y	C_V	E_A	E_R	E_N	E_D	E_C	E_E	E_Q	E_G	E_H	E_I	E_L	E_K	E_M	E_F	E_P	E_S	E_T	E_W	E_Y	E_V	Q_A	Q_R	Q_N	Q_D	Q_C	Q_E	Q_Q	Q_G	Q_H	Q_I	Q_L	Q_K	Q_M	Q_F	Q_P	Q_S	Q_T	Q_W	Q_Y	Q_V	G_A	G_R	G_N	G_D	G_C	G_E	G_Q	G_G	G_H	G_I	G_L	G_K	G_M	G_F	G_P	G_S	G_T	G_W	G_Y	G_V	H_A	H_R	H_N	H_D	H_C	H_E	H_Q	H_G	H_H	H_I	H_L	H_K	H_M	H_F	H_P	H_S	H_T	H_W	H_Y	H_V	I_A	I_R	I_N	I_D	I_C	I_E	I_Q	I_G	I_H	I_I	I_L	I_K	I_M	I_F	I_P	I_S	I_T	I_W	I_Y	I_V	L_A	L_R	L_N	L_D	L_C	L_E	L_Q	L_G	L_H	L_I	L_L	L_K	L_M	L_F	L_P	L_S	L_T	L_W	L_Y	L_V	K_A	K_R	K_N	K_D	K_C	K_E	K_Q	K_G	K_H	K_I	K_L	K_K	K_M	K_F	K_P	K_S	K_T	K_W	K_Y	K_V	M_A	M_R	M_N	M_D	M_C	M_E	M_Q	M_G	M_H	M_I	M_L	M_K	M_M	M_F	M_P	M_S	M_T	M_W	M_Y	M_V	F_A	F_R	F_N	F_D	F_C	F_E	F_Q	F_G	F_H	F_I	F_L	F_K	F_M	F_F	F_P	F_S	F_T	F_W	F_Y	F_V	P_A	P_R	P_N	P_D	P_C	P_E	P_Q	P_G	P_H	P_I	P_L	P_K	P_M	P_F	P_P	P_S	P_T	P_W	P_Y	P_V	S_A	S_R	S_N	S_D	S_C	S_E	S_Q	S_G	S_H	S_I	S_L	S_K	S_M	S_F	S_P	S_S	S_T	S_W	S_Y	S_V	T_A	T_R	T_N	T_D	T_C	T_E	T_Q	T_G	T_H	T_I	T_L	T_K	T_M	T_F	T_P	T_S	T_T	T_W	T_Y	T_V	W_A	W_R	W_N	W_D	W_C	W_E	W_Q	W_G	W_H	W_I	W_L	W_K	W_M	W_F	W_P	W_S	W_T	W_W	W_Y	W_V	Y_A	Y_R	Y_N	Y_D	Y_C	Y_E	Y_Q	Y_G	Y_H	Y_I	Y_L	Y_K	Y_M	Y_F	Y_P	Y_S	Y_T	Y_W	Y_Y	Y_V	V_A	V_R	V_N	V_D	V_C	V_E	V_Q	V_G	V_H	V_I	V_L	V_K	V_M	V_F	V_P	V_S	V_T	V_W	V_Y	V_V
D_Q	 	2	 	1	 	1	34	 	1	 	 	1	 	 	 	 	 	1	 	3	 	1	 	 	 	2	8	1	1	1	 	 	 	 	 	 	 	 	 	14	 	6	5	1	2	13	203	1	9	2	2	4	 	 	1	4	2	 	1	564	13	285	17	12	9	83	-2324	10	220	1	74	168	9	2	10	21	10	4	5	10	1	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	28	1	15	3	 	4	4	271	2	17	 	8	15	2	 	2	4	3	 	1	3	 	1	1	1	 	2	7	 	3	 	1	2	 	 	 	1	 	 	 	5	 	6	1	 	 	4	76	 	4	 	 	5	 	 	1	1	 	 	 	4	 	2	 	1	 	3	11	 	2	 	 	 	 	 	1	 	 	 	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	5	 	1	1	 	 	2	12	 	1	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	 	 	 	 	4	 	 	 	 	 	 	 	 	 	1	 	 	9	 	2	 	1	2	5	27	 	7	 	 	2	 	 	 	1	5	2	1	1	 	1	 	 	 	1	18	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	20	 	 	 	1	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	7	 	2	 	 	1	 	 	 	 	 	 	 	 
D_G	1	2	 	1	 	 	 	20	 	 	 	 	 	 	1	 	 	 	 	1	 	 	 	 	 	 	 	5	 	1	1	 	 	 	 	 	 	 	 	16	5	2	5	2	1	5	1	158	1	 	 	4	1	 	 	7	1	 	 	483	135	71	27	20	16	21	12	-1465	8	1	3	23	1	1	3	82	8	8	2	19	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	21	2	4	3	1	 	1	 	220	 	 	 	2	 	 	 	5	 	 	 	4	1	1	 	 	 	1	 	5	 	 	 	1	 	1	 	 	 	 	 	2	 	1	3	1	1	3	1	34	 	 	 	 	 	 	 	2	1	 	 	1	 	 	 	 	 	1	1	12	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	 	 	 	 	 	 	 	1	 	 	 	2	 	 	 	 	 	 	 	12	 	 	 	 	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	5	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	17	 	 	 	 	 	 	 	 	 	 	 	6	 	1	3	1	 	 	 	20	1	 	 	1	 	 	1	 	 	 	 	2	 	1	 	1	 	 	 	4	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	 	 	 
D_H	 	3	2	1	 	 	2	 	20	 	3	1	 	 	 	1	 	 	 	1	1	 	1	1	 	 	1	 	3	1	 	1	 	 	 	 	 	 	 	5	 	3	3	1	 	1	7	10	88	 	1	3	 	 	1	1	1	 	4	422	4	184	64	11	12	5	122	5	-1545	4	33	15	1	6	9	19	12	2	152	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	 	16	9	2	2	1	9	6	163	 	3	4	 	2	1	5	1	 	9	2	 	1	1	 	 	 	1	 	5	 	 	1	 	 	 	 	 	 	1	5	 	1	2	1	 	 	2	 	38	 	 	1	 	1	1	1	 	 	2	2	1	 	 	 	1	1	 	 	14	 	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	1	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	3	 	 	 	 	1	 	3	 	 	 	 	1	 	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	1	2	1	1	2	 	 	 	2	1	18	 	 	 	 	 	1	1	 	 	1	1	 	 	 	 	 	 	1	 	3	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	7	 	 	 	 	 	 	 	1	 	 	2	1	 	1	 	 	 	1	 	7	 	 	 	 	 	1	 	 	 	 	 
D_I	 	 	 	 	 	 	 	 	 	63	5	 	1	 	 	 	8	 	 	6	 	 	 	 	 	 	 	 	 	3	 	 	1	1	 	 	 	 	 	11	1	 	1	 	 	1	 	 	 	171	5	1	1	1	 	4	17	 	4	451	27	14	11	1	1	5	2	1	5	-2996	251	12	96	38	1	24	200	 	10	1341	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	19	3	3	1	1	 	 	1	1	1	163	5	7	1	1	1	2	23	 	1	65	 	 	 	 	 	 	 	 	1	5	 	 	 	 	 	 	 	 	1	7	1	 	 	 	 	 	 	 	 	60	4	 	1	 	 	1	1	 	 	18	 	 	 	 	 	1	 	 	 	25	 	 	1	 	 	 	2	 	 	5	 	 	 	 	 	 	 	1	 	5	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	5	 	 	 	 	 	 	1	 	 	4	 	 	 	 	 	 	 	 	 	8	 	 	3	 	 	1	 	 	 	3	 	 	 	 	 	 	1	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	1	1	 	 	 	 	 	 	26	9	2	1	 	 	1	6	 	1	6	 	1	 	 	 	 	 	 	 	5	1	1	 	 	 	 	7	 	 	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	6	1	 	 	 	 	 	1	 	 	3	 	1	 	 	 	 	 	 	 	12	1	 	 	 	 	 	2	 	 	4
D_L	 	 	 	 	 	 	3	2	1	 	58	1	 	3	1	 	 	 	 	3	1	1	 	 	 	 	 	 	 	1	14	 	 	 	 	 	 	 	 	12	1	3	 	 	 	1	2	 	1	9	189	1	14	4	 	3	1	 	5	556	13	58	2	2	3	5	65	2	33	143	-2192	10	176	85	23	28	32	9	8	188	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	19	1	12	 	 	 	1	7	 	2	8	269	2	3	1	5	2	3	 	2	18	 	 	 	 	 	 	 	 	1	1	27	 	 	1	 	 	1	 	 	9	 	1	 	 	 	 	1	 	 	 	72	 	 	1	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	2	25	 	 	2	 	 	1	 	 	1	 	 	 	 	 	 	 	 	 	1	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	 	 	 	 	 	1	1	 	 	 	3	 	 	 	 	 	 	 	 	 	4	13	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	4	 	1	 	 	 	 	1	1	2	2	51	 	 	1	1	 	 	 	1	3	1	1	 	 	 	 	 	 	1	 	12	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	13	 	 	1	 	 	 	 	 	5	1	 	 	 	2	 	 	 	 	 	10	 	 	 	2	1	 	 	 	1
D_K	 	4	 	 	 	1	1	1	 	 	 	25	1	 	 	 	1	 	 	5	 	1	1	2	 	 	1	 	 	 	 	3	1	 	 	1	 	 	1	7	1	16	8	1	 	5	10	1	1	 	2	164	1	 	 	2	3	 	1	429	7	348	54	3	2	22	70	11	10	4	5	-1954	10	1	4	20	47	1	1	11	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	25	3	24	9	1	1	3	10	4	2	1	1	406	1	 	1	5	13	1	 	3	2	1	2	 	 	 	1	 	1	2	 	8	 	 	 	 	 	 	 	7	2	3	1	 	 	2	3	 	1	 	 	39	 	 	 	3	1	 	 	3	1	4	1	 	 	1	2	 	 	 	 	18	 	 	 	 	1	 	 	1	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	 	 	 	2	 	 	 	 	 	 	 	2	 	2	2	 	 	2	1	1	 	1	 	8	 	 	 	1	1	 	 	1	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	2	 	 	 	 	1	 	 	8	1	3	2	1	 	2	2	 	2	 	1	19	4	 	 	 	1	 	 	5	 	5	1	 	 	 	 	 	1	 	1	6	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	 	 	 	 	 	 	 	 	 	 	7	1	 	 	 	 	 	 	2	 	1	 	 	 	 	 	 	 	 	 	10	 	 	 	 	1	 	 	 
D_M	 	1	 	 	 	 	 	 	 	 	2	2	1	 	 	 	 	 	 	7	 	 	 	1	 	 	 	 	 	1	4	 	1	 	 	 	1	1	 	5	4	1	1	1	 	2	 	 	1	5	6	3	175	1	 	2	4	 	3	310	46	88	18	 	2	21	17	15	12	263	534	61	-3037	9	6	45	556	4	2	565	 	 	 	 	 	 	 	 	 	1	 	 	2	 	 	 	 	 	 	14	8	9	2	 	 	2	2	28	2	14	13	19	177	1	1	2	11	 	1	20	 	 	 	 	 	 	 	 	 	1	1	 	11	 	 	 	1	 	 	7	1	1	 	 	 	 	 	 	 	3	5	2	3	 	 	 	1	 	 	22	 	 	 	 	 	 	7	 	 	1	37	 	52	 	 	 	1	 	 	9	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	4	 	 	 	1	 	 	2	 	 	1	 	 	 	 	 	 	1	 	 	9	 	 	 	1	 	 	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	6	 	1	1	 	 	 	 	 	 	1	2	1	18	 	 	 	1	 	 	5	 	 	 	 	 	 	 	 	 	1	2	 	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	1	 	 	2
D_F	 	 	 	1	 	 	 	 	 	 	 	 	 	16	 	 	 	 	1	2	 	 	 	 	 	 	1	 	 	2	1	1	 	4	 	 	 	 	 	3	 	 	 	 	 	1	 	 	1	 	2	 	 	121	 	2	 	 	5	474	8	6	5	3	5	1	7	1	28	25	141	5	3	-1559	3	28	14	4	317	22	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	15	1	1	 	 	1	 	 	 	1	2	3	 	 	221	 	7	1	 	20	15	 	 	 	 	 	 	 	 	 	 	1	 	 	8	 	 	 	 	 	6	1	 	 	 	 	 	 	 	1	2	1	 	 	38	 	 	3	 	2	1	 	 	 	 	 	1	 	 	 	2	3	 	 	24	 	 	 	 	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	2	 	 	1	 	 	 	 	 	3	 	 	 	 	 	 	1	 	 	 	 	 	 	7	 	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	3	 	 	22	 	 	 	 	1	12	 	 	 	 	 	 	 	 	 	 	2	 	 	7	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	 	1	 	 	9	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	1	1	 	5	 	 	 	 	 	1
D_P	 	 	 	 	 	 	 	 	 	 	2	 	 	 	36	2	 	 	 	4	1	6	 	7	 	 	1	 	2	1	 	 	 	 	11	 	 	 	 	11	4	7	 	 	 	1	4	3	7	 	3	3	 	3	197	8	 	 	 	596	51	160	41	15	12	11	73	12	130	3	95	38	2	3	-2609	227	86	3	12	30	 	 	 	4	 	 	 	 	 	1	 	 	 	 	2	 	 	 	 	30	6	9	2	1	 	2	5	7	13	1	19	3	1	8	230	20	101	 	13	9	1	1	 	2	 	 	 	 	1	 	2	1	 	 	34	1	 	 	 	6	1	4	 	 	 	 	3	 	1	 	2	4	 	 	184	2	 	 	 	2	 	 	 	 	 	4	2	 	2	 	 	 	 	 	42	 	 	 	 	2	 	1	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	 	1	 	1	 	 	 	 	2	 	 	 	 	 	 	 	2	 	1	 	 	6	1	 	1	 	 	1	 	 	 	1	5	2	 	 	19	4	 	 	 	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	15	1	4	1	 	 	9	1	2	1	 	4	3	 	2	56	2	1	 	4	3	 	 	1	 	 	 	 	 	 	 	 	 	 	 	13	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	 	 	 	 	 	 	 	 	1	 	 	 	12	 	 	 	 	10	 	 	 	1	 	 	 	 	 	 	2	 	 	 	6	1	1	 	 	1
D_S	2	 	1	1	 	 	 	 	 	1	1	1	 	1	2	10	1	 	 	3	4	 	 	 	 	 	 	 	4	1	 	 	1	 	 	3	1	 	 	2	5	2	7	2	1	1	1	2	1	1	 	1	1	 	1	89	6	 	1	438	126	41	122	15	35	5	5	39	20	7	19	12	3	13	40	-1609	202	2	8	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	14	8	4	8	2	2	1	1	3	2	1	3	3	 	1	12	185	9	 	1	5	1	1	 	 	 	 	 	1	1	 	 	 	 	 	 	6	1	 	 	5	5	1	3	1	1	 	1	2	1	 	 	1	 	 	2	29	3	 	 	3	1	2	 	 	 	 	 	1	 	 	 	 	 	 	1	10	1	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	 	 	1	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	1	2	 	3	1	 	 	 	1	 	 	1	 	 	 	2	17	1	 	 	1	1	 	1	 	 	 	 	 	 	 	 	 	 	 	1	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	1	 	 	 	 	8	1	 	 	3	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	 	 
D_T	3	 	1	 	 	 	 	 	 	 	 	 	3	 	1	2	28	 	 	4	 	 	1	 	 	 	 	 	 	 	 	 	2	 	 	 	4	 	 	13	2	3	4	1	1	2	1	1	 	3	7	3	1	 	1	10	142	 	 	446	123	25	56	4	3	4	9	5	8	92	13	37	65	10	18	289	-1806	2	4	58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	10	7	3	7	 	 	 	2	1	 	6	2	4	2	1	1	14	168	 	 	7	1	 	 	1	 	 	 	 	 	1	 	 	1	 	 	 	5	 	 	6	2	 	 	 	 	1	 	 	 	1	2	 	1	 	 	3	30	 	 	3	 	1	 	 	 	 	 	 	 	1	 	 	1	 	 	1	20	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	6	 	 	2	2	 	 	 	 	 	 	 	 	1	 	 	 	 	1	1	7	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	1	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	2	 	 	6	1	2	5	1	 	1	 	 	2	1	1	 	2	 	1	2	22	 	 	6	1	3	1	 	 	1	1	 	 	 	 	1	1	 	 	2	14	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	5	 	 	2	 	1	 	 	 	1	 	 	 	1	1	1	1	 	2	 	13	 	 	1
D_W	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	 	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	5	 	7	 	3	 	 	 	 	1	 	 	 	 	1	 	 	 	 	 	113	1	406	 	82	 	 	16	 	9	13	3	2	22	4	3	3	2	7	6	-958	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	8	 	9	 	 	 	 	1	 	 	 	5	2	1	1	 	2	 	158	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	5	 	3	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	27	 	1	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	 	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	31	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	11	 	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 
D_Y	 	 	 	 	 	 	 	 	2	 	 	 	 	2	 	 	 	 	12	1	 	 	 	 	 	 	 	 	 	1	 	 	 	2	 	 	 	 	3	3	 	 	 	1	 	 	 	 	5	 	 	1	 	3	 	2	 	 	80	442	3	7	9	3	27	1	5	1	120	5	7	3	 	119	2	11	6	2	-1157	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	13	1	3	3	2	2	 	 	 	10	1	1	 	 	12	 	1	 	1	195	4	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	8	5	 	1	 	 	 	 	 	 	2	 	1	 	 	2	 	 	 	 	26	5	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	1	2	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	 	 	 	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	3	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	1	 	 	14	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	1	 	 	 	 	 	1	 	 	 	9	1	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 
D_V	2	1	1	1	 	1	1	3	 	6	10	1	2	 	1	1	4	1	2	41	4	2	 	7	1	7	3	1	3	4	6	1	2	1	1	1	5	2	3	18	7	 	1	1	 	3	 	1	1	25	16	1	4	 	 	1	6	 	2	582	126	11	10	15	5	10	8	27	4	760	191	16	125	19	6	29	86	 	7	-4772	76	143	81	73	441	58	72	85	63	92	162	71	34	89	35	104	77	26	83	238	10	1	1	2	 	1	1	4	2	16	11	1	6	4	1	3	13	 	1	201	 	 	 	1	 	1	 	 	 	3	2	 	 	 	 	 	 	 	 	34	3	2	1	2	2	1	2	2	1	4	4	1	2	2	1	1	1	 	 	106	1	 	 	1	 	1	1	1	2	7	1	 	1	1	1	4	3	 	1	31	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	6	1	1	1	1	 	9	1	 	1	2	1	 	 	 	 	 	1	 	1	11	3	 	 	 	 	1	 	 	1	1	1	 	1	 	 	1	 	 	 	17	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	5	 	1	 	1	1	 	1	 	1	2	1	1	 	1	 	 	 	1	 	4	 	 	 	1	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	34	6	3	3	5	1	4	2	4	3	4	14	5	2	2	2	2	2	1	7	52	 	 	 	 	 	1	2	 	 	4	1	 	 	 	 	 	1	 	 	23	 	2	 	1	1	 	1	 	1	 	 	 	 	1	 	 	 	 	 	12	4	3	1	2	1	6	1	4	 	2	5	2	 	1	1	3	2	1	1	24	1	 	 	2	 	1	 	 	 	4	2	 	1	1	 	 	1	 	 	19
C_A	17	 	1	 	 	 	 	 	 	1	 	 	 	 	 	5	4	 	1	28	202	 	2	1	 	3	1	1	 	1	1	1	1	1	2	12	9	 	1	13	12	 	1	1	1	7	 	1	 	1	1	1	1	 	 	3	1	 	 	5	4	4	 	 	 	 	3	 	2	1	 	1	 	 	3	 	1	 	 	503	-3060	5	22	61	28	31	5	182	11	20	25	10	6	26	31	468	290	1	5	369	1	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	3	 	 	2	23	 	 	 	 	 	 	 	 	1	 	 	 	 	 	7	1	 	 	1	10	 	 	3	 	 	 	 	 	1	 	 	 	 	 	 	2	 	 	9	45	1	 	1	 	 	 	1	 	1	1	1	 	2	1	4	2	 	 	7	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	36	 	 	 	22	 	 	 	 	1	 	 	 	 	 	2	2	 	 	2	8	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	225	 	 	1	 	 	 	2	 	3	 	 	1	 	 	4	6	 	 	12	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	29	221	2	3	3	1	1	1	4	2	1	19	5	 	 	1	8	10	 	 	16	16	1	 	 	1	 	4	1	1	 	 	1	 	 	 	3	 	 	 	5	49	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	 	 	 	22	78	 	 	12	 	 	 	 	 	2	3	 	 	 	2	3	7	 	 	8	26	 	1	 	 	 	1	3	 	 	1	 	 	 	 	1	 	 	 	1
