pos.dist	dist	count.threshold	p.threshold	count
0	0.0	0	0.0	0
1	1.3605915395854555	10590934	0.999001275477238	10601522
2	3.629990444019721	10524281	0.9976288462878325	10549295
3	5.239456925950538	10165581	0.9684050313791976	10497241
4	6.466958136156073	6459474	0.6184017455284047	10445433
5	8.196869949910377	5747488	0.5529661899554191	10393923
6	9.799865356462641	4781786	0.4623362775797092	10342658
7	10.953022274175279	3825246	0.37168370147896307	10291670
8	12.09808489045196	1963363	0.19171749951688896	10240917
9	13.245276557530602	1576780	0.15473150975238917	10190426
10	14.162196306560025	1390986	0.13716989525380482	10140607
11	14.88035523841014	1300582	0.12888169059919619	10091286
12	15.59892455723236	1221266	0.12161242267692197	10042280
13	16.224220746797748	1177549	0.11783169091296798	9993483
14	16.69353762926268	1143118	0.11494530957921488	9944886
15	17.081424202984337	1115281	0.112695330617336	9896426
16	17.437869064987535	1073130	0.10896842654234601	9848082
17	17.708168775755773	1065570	0.1087333524152678	9799845
18	17.904447042657704	1053034	0.10798434903024366	9751728
19	18.05576016762824	1044255	0.10761415031963079	9703696
20	18.18497208801435	1037375	0.10743616176667667	9655734
21	18.269164926720347	1045338	0.10879979650088094	9607904
22	18.32400153610822	1050750	0.10990494882398828	9560534
23	18.374397714200303	1033225	0.10860928502824856	9513229
24	18.421261875279793	1022931	0.10806395282135665	9465978
25	18.462074909040144	1014660	0.1077272133681715	9418790
26	18.50652526373759	1004845	0.10722101403616861	9371717
27	18.56392710348985	992552	0.10644267796390597	9324756
28	18.627047678247077	971020	0.10465917756394884	9277925
29	18.698327107761756	960462	0.10404398857063252	9231307
30	18.78254952214309	924634	0.10066896783589058	9184896
31	18.883264799714414	910640	0.09964543496560764	9138803
32	18.993797801453393	892950	0.09820396555080332	9092810
33	19.114509690431415	860823	0.09515071501508465	9046942
34	19.244860825893912	838342	0.09313740684365109	9001131
35	19.384012504509535	820760	0.0916498946332173	8955384
36	19.52038534838244	804525	0.09029777473689314	8909688
37	19.653229389561115	780517	0.08805349384253806	8864123
38	19.787825280209518	755152	0.08563170379707534	8818603
39	19.915221465871152	735095	0.08378949009798912	8773117
40	20.04171120729432	718377	0.08231012409129704	8727687
41	20.1563442807826	707532	0.08149130990636122	8682300
42	20.268762714439454	697645	0.08077427616397881	8636970
43	20.37985132384002	683530	0.07955681987345725	8591721
44	20.492895686021487	658581	0.07705846280429522	8546511
45	20.597562588808877	641056	0.07540631454484266	8501357
46	20.70268520629569	621357	0.07347904176887905	8456248
47	20.8086587430916	604405	0.07185652591313445	8411275
48	20.912026967973976	592473	0.07081597466047124	8366375
49	21.0114391583469	581081	0.06982880987436411	8321508
50	21.115523577768776	571083	0.06899910978712216	8276672
51	21.223214955095635	555417	0.06747144820589022	8231882
52	21.328116523033323	545890	0.0666763077724331	8187166
53	21.43655185062925	529749	0.0650592288793519	8142565
54	21.552961976541777	527031	0.06508143221111719	8098024
55	21.668854802010312	515607	0.06402228581042782	8053555
56	21.7852001768176	497120	0.06206907056960658	8009142
57	21.905619513037013	488596	0.061344353812420836	7964808
58	22.02966226153601	474638	0.05992462928549578	7920583
59	22.15271635524617	462283	0.058691736818757875	7876458
60	22.277447291480282	452781	0.05780845192989767	7832436
61	22.402528460662403	445567	0.05720825385192468	7788509
62	22.529958422050775	428246	0.0552955560551104	7744673
63	22.655261084866257	418701	0.054370179397789695	7700931
64	22.779152359586377	402591	0.05257621370710555	7657284
65	22.89905758987115	389496	0.05115699395526955	7613739
66	23.015222337069957	379951	0.05018971517097878	7570296
67	23.12882960856609	370698	0.04924927334676591	7526974
68	23.234616558658345	356356	0.04761727870798532	7483754
69	23.33837872165852	350109	0.04705346189533622	7440664
70	23.43866912509907	344221	0.04653119731849581	7397639
