E-R	4993	310.40439433385046	0.0621679139462949
D-R	3976	225.18214536619746	0.05663534843214222
E-K	3343	225.9512565119581	0.06758936778700511
D-K	2653	144.24756151623018	0.05437148945202796
L-V	2364	91.58906989084015	0.03874326137514389
I-L	2091	77.30583547618454	0.03697074867345028
E-Y	1815	56.745213356159134	0.03126458036152018
L-R	1805	75.83004563319437	0.0420111056139581
I-V	1669	80.0418136091444	0.04795794703963115
L-L	1635	51.103892150962885	0.031256203150436014
D-Y	1606	51.35403349237852	0.03197635958429547
R-S	1597	116.98565809889772	0.07325338641133232
E-S	1519	88.50114404201508	0.05826276763792961
Q-R	1512	104.6784796946455	0.0692317987398449
D-S	1453	62.80971190991521	0.04322760626972829
D-H	1435	65.48849119756882	0.04563657923175528
N-R	1403	85.78039322102042	0.06114069367143294
L-Y	1378	34.35378375324858	0.024930176889149912
F-L	1341	31.432029260613977	0.023439246279354196
R-Y	1305	45.78606759547214	0.035085109268561024
R-T	1273	73.25567832904167	0.057545701751014665
E-H	1252	77.18062321384247	0.06164586518677513
K-L	1248	49.20095266566129	0.03942384027697219
G-R	1236	41.287026113561026	0.033403742810324454
R-V	1155	67.91270248957974	0.058798876614354754
A-L	1134	37.898674232948366	0.033420347648102616
E-T	1127	73.59731194926441	0.06530373731079361
E-N	1125	60.367833561886854	0.05366029649945498
F-V	1083	30.663043628903345	0.02831305967581103
D-T	1082	43.09310613451303	0.03982726999492886
L-S	1075	56.877870537965364	0.0529096470120608
K-S	1068	74.09708573832356	0.06937929376247524
N-S	1061	77.63931624717411	0.07317560437999444
K-Q	1059	94.01005347104989	0.08877247730977327
A-R	1042	56.02164139765832	0.053763571398904336
V-V	1036	46.467636559602354	0.044852931042087214
G-L	1028	19.077426534094602	0.018557807912543387
K-N	1022	69.89444417479216	0.06838986709862246
D-N	1000	48.79338695235584	0.04879338695235584
L-Q	998	61.31897510468379	0.06144185882232844
K-T	982	52.36206502744174	0.05332185848008324
T-V	966	54.52187800530425	0.05644086750031496
L-T	959	47.437427554047375	0.04946551361214533
F-I	958	27.065175586755583	0.028251749046717727
K-Y	950	35.64329657344657	0.03751925955099639
E-L	946	36.427870764086435	0.038507262964150565
K-R	942	56.01958171662875	0.059468770399818204
V-Y	937	29.42123261439837	0.03139939446573999
Q-S	929	83.96739706779697	0.09038471159073946
E-Q	925	70.89897356150551	0.07664753898541136
A-V	924	42.175829517710625	0.045644837140379466
N-Q	921	67.59749985109933	0.07339576531063988
I-R	914	44.683259265235954	0.04888759219391242
S-T	912	68.45195659019946	0.07505696994539414
S-Y	897	39.63371831466882	0.044184747285026554
P-R	888	31.174345861186236	0.03510624533917369
K-V	888	39.684127524363426	0.04468933279770656
N-T	887	52.30624711613403	0.058969838913341635
L-N	885	28.70696244136793	0.03243724569646094
Q-Y	872	38.53823526746904	0.04419522393058376
N-Y	856	35.25690083617089	0.041187968266554784
H-Y	851	28.93512944970076	0.034001327202938615
S-V	849	57.86263075570182	0.06815386425877717
G-V	834	20.363847579730574	0.024417083428933544
D-Q	817	41.56760925000188	0.05087834669522874
Q-T	812	54.768124307227566	0.06744842894978764
F-R	805	27.446494184986463	0.03409502383228132
I-Y	790	29.134232990702728	0.03687877593759839
G-S	784	35.18692235995949	0.04488127852035649
G-K	781	23.2019471407288	0.029707998899780794
H-S	776	50.20047563442661	0.06469133458044667
D-L	761	28.234276295372567	0.03710154572322282
N-V	758	28.05934989778443	0.03701761200235413
I-I	753	32.48552717070883	0.04314147034622686
I-K	753	36.71173913135895	0.04875396962995876
G-N	741	16.68781299403221	0.022520665309085305
R-R	729	41.14706783433564	0.056443165753546826
Q-V	725	40.19833468321129	0.055445978873394884
I-T	724	41.62156218816334	0.05748834556376152
L-M	710	28.384810366849962	0.0399786061504929
T-Y	707	39.330173370302745	0.05562966530453005
A-I	699	36.64700534222372	0.05242776157685797
C-C	697	10.590757707631157	0.015194774329456467
E-G	688	19.749206901207682	0.028705242588964654
E-V	683	35.33042935573379	0.05172830066725299
A-K	681	43.54069844620258	0.06393641475213302
H-R	675	48.97285609557252	0.07255237940084817
N-N	674	42.171895083267124	0.06256957727487704
I-N	673	31.692840783285867	0.04709188823668033
H-L	672	33.12303567109528	0.049290231653415596
F-Y	671	16.189536082114188	0.024127475532211905
I-S	662	41.688003850065705	0.06297281548348294
G-T	634	17.423622072724527	0.027482053742467708
H-T	625	41.03937241594042	0.06566299586550467
F-K	620	22.555604353442618	0.03638000702168164
D-G	616	18.04030420428185	0.02928620812383417
D-V	611	24.17274548898141	0.039562594908316547
G-Y	600	10.081631112944006	0.016802718521573345
G-I	582	14.333357937048948	0.02462776277843462
F-S	581	25.904936300441108	0.0445868094671964
G-Q	578	20.489418810138478	0.03544882147082782
I-Q	577	29.755114446338293	0.05156865588620155
A-Y	571	20.558084500341934	0.036003650613558556
L-W	561	7.93846427003095	0.014150560196133602
A-S	556	36.70879204834743	0.06602300728120042
A-T	552	29.422618119266456	0.05330184441896097
E-I	546	25.51039198217583	0.04672232963768467
H-V	545	26.662307258040915	0.048921664693653055
H-N	539	24.382844870360472	0.045237188998813495
S-S	535	48.524116261830734	0.0906992827323939
A-G	521	19.039156434999963	0.03654348643953928
H-K	518	35.76042218434044	0.06903556406243329
H-Q	515	49.055311833478626	0.09525303268636627
A-N	514	23.131210216218474	0.045002354506261624
A-F	513	14.957490449668693	0.02915690146134248
F-Q	509	22.058833268027787	0.04333758991753985
E-F	501	15.995494269230822	0.031927134269921796
F-N	499	16.071129498581797	0.03220667234184729
